,0
0,317.437
1,19.194
2,23.67
3,20.374
4,22.64
5,38.258
6,19.269
7,14.869
8,20.138
9,46.004
10,29.762
11,21.371
12,19.663
13,15.254
14,13.08
15,12.049
16,12.523
17,11.84
18,14.571
19,14.374
20,13.592
21,13.817
22,11.956
23,13.607
24,12.138
25,12.108
26,13.328
27,14.131
28,13.192
29,16.142
30,11.861
31,19.956
32,13.794
33,11.728
34,13.018
35,12.996
36,16.393
37,12.469
38,17.22
39,15.95
40,17.07
41,15.988
42,12.375
43,16.763
44,16.457
45,18.857
46,12.827
47,14.686
48,13.53
49,13.038
50,12.655
51,12.393
52,14.276
53,20.076
54,23.762
55,19.678
56,12.759
57,18.31
58,13.189
59,18.814
60,18.136
61,12.773
62,15.156
63,13.373
64,17.057
65,15.795
66,13.908
67,14.651
68,11.771
69,12.821
70,39.447
71,15.116
72,16.052
73,22.751
74,14.393
75,14.076
76,12.953
77,12.128
78,12.531
79,14.566
80,16.975
81,15.803
82,15.345
83,14.963
84,16.175
85,12.706
86,16.279
87,16.285
88,12.143
89,16.223
90,18.534
91,13.422
92,14.632
93,34.936
94,22.53
95,23.998
96,13.502
97,22.531
98,23.276
99,13.843
100,25.575
101,23.551
102,24.097
103,23.001
104,24.347
105,24.122
106,23.14
107,37.401
108,16.801
109,16.687
110,20.291
111,13.542
112,24.113
113,23.549
114,24.703
115,24.559
116,22.269
117,24.522
118,25.074
119,29.451
120,20.616
121,25.647
122,22.398
123,25.422
124,25.473
125,24.432
126,23.001
127,24.57
128,21.77
129,18.702
130,22.63
131,23.425
132,22.445
133,26.104
134,25.182
135,22.484
136,22.386
137,20.541
138,23.85
139,25.112
140,22.634
141,22.089
142,22.65
143,25.817
144,27.569
145,23.702
146,22.975
147,21.886
148,22.919
149,24.218
150,23.466
151,24.012
152,26.416
153,23.98
154,25.534
155,23.124
156,17.929
157,24.687
158,34.208
159,23.989
160,20.864
161,24.263
162,23.283
163,22.902
164,27.335
165,21.455
166,20.045
167,22.74
168,21.032
169,23.088
170,24.76
171,18.743
172,17.339
173,15.867
174,21.943
175,20.838
176,14.617
177,23.092
178,19.894
179,17.3
180,15.027
181,22.73
182,21.302
183,23.236
184,22.769
185,26.041
186,19.484
187,20.416
188,14.556
189,18.653
190,19.588
191,23.482
192,20.762
193,26.39
194,26.167
195,22.594
196,22.61
197,21.551
198,20.457
199,25.853
200,34.276
201,21.979
202,24.883
203,26.949
204,32.128
205,23.341
206,23.955
207,21.854
208,23.384
209,23.348
210,23.062
211,22.217
212,22.128
213,28.351
214,24.475
215,27.051
216,25.095
217,23.456
218,14.052
219,13.316
220,11.634
221,20.033
222,23.025
223,24.156
224,22.671
225,24.296
226,22.336
227,21.588
228,29.211
229,22.079
230,22.986
231,23.703
232,28.994
233,25.406
234,21.692
235,21.406
236,21.604
237,22.742
238,27.167
239,28.302
240,23.032
241,22.885
242,22.821
243,21.961
244,26.732
245,23.411
246,22.688
247,24.079
248,23.432
249,19.83
250,22.408
251,22.32
252,30.992
253,22.347
254,25.128
255,25.112
256,23.741
257,24.111
258,30.977
259,23.479
260,22.916
261,21.993
262,21.992
263,26.544
264,21.928
265,22.513
266,23.201
267,22.18
268,24.134
269,21.113
270,22.569
271,18.717
272,18.202
273,24.406
274,23.828
275,23.73
276,23.176
277,24.657
278,23.432
279,24.726
280,23.934
281,24.836
282,37.921
283,24.194
284,24.823
285,24.678
286,21.693
287,24.729
288,22.938
289,23.601
290,21.412
291,17.812
292,22.22
293,24.417
294,24.828
295,22.413
296,23.213
297,39.946
298,21.264
299,24.506
300,23.44
301,22.32
302,24.507
303,23.857
304,18.194
305,22.724
306,24.493
307,22.773
308,24.263
309,22.091
310,23.59
311,21.722
312,21.518
313,22.783
314,22.667
315,21.947
316,32.291
317,19.519
318,22.578
319,23.473
320,24.114
321,23.75
322,20.274
323,28.996
324,29.311
325,22.124
326,24.257
327,23.547
328,25.142
329,22.06
330,23.949
331,12.9
332,22.426
333,20.85
334,26.642
335,20.343
336,28.347
337,25.571
338,23.303
339,33.908
340,25.158
341,20.437
342,23.02
343,22.236
344,19.869
345,22.266
346,19.14
347,33.16
348,12.078
349,11.96
350,17.052
351,18.86
352,13.73
353,13.601
354,20.825
355,19.05
356,18.891
357,21.017
358,22.357
359,30.476
360,21.011
361,20.761
362,13.969
363,12.993
364,14.968
365,15.587
366,15.437
367,16.54
368,15.287
369,24.354
370,21.795
371,21.687
372,21.6
373,13.425
374,13.236
375,15.865
376,20.201
377,21.549
378,28.674
379,20.294
380,17.88
381,22.946
382,15.519
383,22.082
384,15.22
385,22.153
386,16.777
387,29.372
388,28.769
389,26.255
390,19.18
391,21.052
392,21.711
393,20.487
394,13.865
395,18.867
396,15.238
397,18.731
398,19.675
399,14.683
400,13.218
401,23.981
402,14.493
403,17.053
404,20.254
405,13.55
406,17.276
407,13.663
408,16.525
409,19.067
410,24.5
411,13.132
412,14.779
413,14.855
414,26.51
415,23.515
416,23.983
417,24.507
418,26.954
419,20.847
420,22.446
421,23.853
422,15.61
423,21.013
424,21.099
425,23.03
426,21.66
427,15.508
428,13.919
429,21.129
430,17.541
431,35.206
432,17.561
433,22.547
434,18.875
435,15.255
436,17.896
437,13.992
438,19.754
439,13.009
440,20.672
441,16.785
442,15.231
443,17.341
444,18.562
445,14.297
446,18.688
447,24.081
448,23.409
449,21.83
450,22.936
451,41.543
452,15.815
453,21.493
454,14.539
455,14.791
456,15.696
457,12.315
458,14.395
459,13.392
460,17.053
461,14.219
462,21.742
463,13.427
464,18.765
465,20.356
466,21.749
467,23.52
468,23.9
469,21.578
470,16.296
471,23.765
472,18.204
473,14.52
474,12.679
475,28.094
476,22.106
477,24.099
478,31.216
479,39.478
480,19.774
481,12.846
482,26.727
483,24.761
484,20.697
485,13.38
486,22.217
487,17.041
488,18.005
489,17.968
490,28.938
491,34.397
492,34.463
493,24.121
494,21.085
495,19.778
496,21.763
497,14.8
498,14.346
499,22.05
500,22.648
501,17.099
502,23.352
503,25.153
504,22.623
505,24.308
506,18.034
507,16.177
508,14.174
509,18.358
510,17.645
511,22.97
512,22.122
513,23.52
514,23.023
515,21.455
516,27.914
517,20.378
518,15.679
519,14.249
520,14.351
521,17.506
522,17.059
523,23.253
524,22.532
525,24.482
526,12.934
527,14.422
528,15.61
529,14.745
530,22.391
531,15.709
532,15.959
533,21.194
534,23.917
535,21.548
536,17.254
537,15.739
538,17.724
539,22.787
540,23.601
541,22.445
542,21.252
543,23.332
544,20.128
545,18.243
546,20.188
547,20.085
548,15.91
549,18.655
550,14.306
551,15.128
552,13.813
553,20.012
554,16.981
555,14.879
556,23.146
557,24.917
558,24.571
559,28.645
560,14.168
561,14.369
562,13.972
563,12.97
564,17.815
565,25.731
566,18.713
567,14.106
568,18.724
569,14.386
570,13.903
571,15.889
572,15.241
573,17.779
574,16.203
575,16.904
576,16.849
577,14.506
578,13.64
579,19.979
580,19.114
581,15.91
582,14.176
583,18.71
584,24.733
585,20.46
586,14.422
587,14.579
588,15.031
589,15.537
590,21.349
591,15.787
592,13.553
593,14.117
594,18.618
595,14.217
596,12.845
597,20.22
598,23.154
599,22.229
600,29.144
601,16.714
602,18.48
603,24.586
604,18.133
605,22.201
606,21.269
607,22.929
608,19.691
609,20.658
610,18.752
611,14.918
612,11.368
613,13.009
614,11.427
615,13.042
616,15.181
617,12.66
618,23.253
619,12.355
620,17.033
621,24.179
622,22.633
623,16.468
624,19.944
625,20.476
626,28.532
627,19.022
628,26.882
629,28.954
630,22.672
631,20.666
632,15.33
633,22.758
634,24.027
635,31.781
636,13.978
637,13.3
638,13.329
639,16.973
640,16.68
641,24.8
642,22.362
643,13.596
644,27.275
645,23.172
646,31.038
647,18.558
648,18.213
649,24.316
650,20.477
651,15.789
652,14.562
653,13.3
654,17.052
655,17.228
656,15.324
657,15.895
658,19.82
659,26.467
660,22.373
661,19.293
662,16.65
